en,cs,description,file,hash
"%d entries deleted.","%d položek smazáno.",,site/modules/Vox/ProcessVox.module.php,deebe0c652e9a9e9a1bd76cd037c2f38
"Allow guest entries","Povolit příspěvky hostů",,site/modules/Vox/Vox.module.php,e17b5dceea4debdb4ae478671d56db21
"Allow via browser fingerprint","Povolit pomocí otisku prohlížeče",,site/modules/Vox/Vox.module.php,3cabbeff64a04a0d4aaccfafd9fd73c8
"Block comment panel mode","Režim panelu komentářů bloku",,site/modules/Vox/Vox.module.php,da0543e88dd5f79a5e121d5a3217bf39
Disabled,Zakázáno,,site/modules/Vox/Vox.module.php,b9f5c797ebbf55adccdd8539a65a0241
Display,Zobrazení,,site/modules/Vox/Vox.module.php,b9987a246a537f4fe86f1f2e3d10dbdb
"Enable photo uploads","Povolit nahrávání fotografií",,site/modules/Vox/Vox.module.php,85c1006e14988831815b67534febcd9f
"Entries approved.","Položky schváleny.",,site/modules/Vox/ProcessVox.module.php,69dbe1e3aed96f397a75cb8ffad37687
"Entries marked as spam.","Položky označeny jako spam.",,site/modules/Vox/ProcessVox.module.php,0b2d7760f158e39c5f1990aa79f2181a
"Gamification — points","Gamifikace — body",,site/modules/Vox/Vox.module.php,a1eda4c80ac05aa6b560c493897d1a4a
General,Obecné,,site/modules/Vox/Vox.module.php,0db377921f4ce762c62526131097968f
"Guest voting","Hlasování hostů",,site/modules/Vox/Vox.module.php,9073e5e4a9bc17d4284d8d5df2256590
"Guests must provide an email address to post.","Hosté musí pro publikování zadat e-mailovou adresu.",,site/modules/Vox/Vox.module.php,d4285691e5240ff907704d6fc752d0b9
"Helpful / Not helpful (+1 / -1)","Užitečné / Neužitečné (+1 / -1)",,site/modules/Vox/Vox.module.php,04c5938b672e72d505cf4a7d26595c29
"How inline block discussions appear on the page.","Jak se na stránce zobrazují diskuse vloženého bloku.",,site/modules/Vox/Vox.module.php,f6cf32eb423927b755639e8cc1513c21
"How new entries are handled before appearing publicly.","Jak jsou nové položky zpracovávány, než se veřejně zobrazí.",,site/modules/Vox/Vox.module.php,c0c24e70d255cf2eb4a02e3102dcf33f
"Immediate publish","Okamžité zveřejnění",,site/modules/Vox/Vox.module.php,c242540bad5947ac7a20fb523657da29
"Initial comments shown","Zobrazené počáteční komentáře",,site/modules/Vox/Vox.module.php,89c4d1a2b20b6a0b27397508ad1b7c0e
"Inline — expands below content block","Vložené — rozbalí se pod blokem obsahu",,site/modules/Vox/Vox.module.php,d553dc0c1e9ecc36d736987615522711
"Likes only (+1)","Pouze To se mi líbí (+1)",,site/modules/Vox/Vox.module.php,df4320991733cefe1147c0e7858fd157
"Max file size (MB)","Maximální velikost souboru (MB)",,site/modules/Vox/Vox.module.php,80d4bcfbbcca2e8457d3dca436858a87
"Max photos per entry","Maximální počet fotografií na položku",,site/modules/Vox/Vox.module.php,467e8bd698dc4fa50b7c1d82f608726b
"Max posts per hour","Maximální počet příspěvků za hodinu",,site/modules/Vox/Vox.module.php,181065a3a340a2d970068b086338cd63
"Min seconds between posts","Minimální počet sekund mezi příspěvky",,site/modules/Vox/Vox.module.php,df05df3ec0c2501090b66f6446589958
"Moderation mode","Režim moderování",,site/modules/Vox/Vox.module.php,f88b9bb526bde709e914d9dfe6c65b19
No,Ne,,site/modules/Vox/Vox.module.php,bafd7322c6e97d25b6299b5d6fe8920b
"Non-registered users can post reviews, questions and comments.","Neregistrovaní uživatelé mohou přidávat recenze, otázky a komentáře.",,site/modules/Vox/Vox.module.php,05f92a98e0cbfbc086e40a43b1e0941d
"Notification email","E-mail pro upozornění",,site/modules/Vox/Vox.module.php,d5b501407738a0f21e63ea67ed1d64bf
"Number of comments pre-loaded before ""Show more"".","Počet komentářů předem načtených před „Zobrazit více“.",,site/modules/Vox/Vox.module.php,3ee54d14846ada5583189a1ea00097c3
