en,is,description,file,hash
"%d entries deleted.","%d færslum eytt.",,site/modules/Vox/ProcessVox.module.php,deebe0c652e9a9e9a1bd76cd037c2f38
"Allow guest entries","Leyfa færslur gesta",,site/modules/Vox/Vox.module.php,e17b5dceea4debdb4ae478671d56db21
"Allow via browser fingerprint","Leyfa með fingrafari vafra",,site/modules/Vox/Vox.module.php,3cabbeff64a04a0d4aaccfafd9fd73c8
"Block comment panel mode","Stilling athugasemdaspjalds blokkar",,site/modules/Vox/Vox.module.php,da0543e88dd5f79a5e121d5a3217bf39
Disabled,Óvirkt,,site/modules/Vox/Vox.module.php,b9f5c797ebbf55adccdd8539a65a0241
Display,Birting,,site/modules/Vox/Vox.module.php,b9987a246a537f4fe86f1f2e3d10dbdb
"Enable photo uploads","Virkja myndaupphal",,site/modules/Vox/Vox.module.php,85c1006e14988831815b67534febcd9f
"Entries approved.","Færslur samþykktar.",,site/modules/Vox/ProcessVox.module.php,69dbe1e3aed96f397a75cb8ffad37687
"Entries marked as spam.","Færslur merktar sem ruslpóstur.",,site/modules/Vox/ProcessVox.module.php,0b2d7760f158e39c5f1990aa79f2181a
"Gamification — points","Leikjavæðing — stig",,site/modules/Vox/Vox.module.php,a1eda4c80ac05aa6b560c493897d1a4a
General,Almennt,,site/modules/Vox/Vox.module.php,0db377921f4ce762c62526131097968f
"Guest voting","Atkvæðagreiðsla gesta",,site/modules/Vox/Vox.module.php,9073e5e4a9bc17d4284d8d5df2256590
"Guests must provide an email address to post.","Gestir verða að gefa upp netfang til að birta færslu.",,site/modules/Vox/Vox.module.php,d4285691e5240ff907704d6fc752d0b9
"Helpful / Not helpful (+1 / -1)","Gagnlegt / Ekki gagnlegt (+1 / -1)",,site/modules/Vox/Vox.module.php,04c5938b672e72d505cf4a7d26595c29
"How inline block discussions appear on the page.","Hvernig umræður innfelldrar blokkar birtast á síðunni.",,site/modules/Vox/Vox.module.php,f6cf32eb423927b755639e8cc1513c21
